,Unnamed: 0,content,uuid,predictions
0,0,Getting Your First WordPress Website Up in Under 24 Hours,efd8f8ee4a2042cebbaf8f01100a67e2,software development
1,1,Getting Started with Jenkins 2,1e45f40ea3f4490ba7f79ac4b69842b4,software development
2,2,JavaScript: Getting Started,7afc69a958404c89946d948d0797d581,software development
3,3,Core Python: Getting Started,57e7d087fbd34d2bbf7c06005a177c95,software development
4,4,Kubernetes for Developers: Integrating Volumes and Using Multi-container Pods,9b8021e08a414f6997a17337035f5a14,software development
5,5,Applying Concurrency and Multi-threading to Common Java Patterns,8d0ff0b7fa3b4a07a14237b4255b771b,software development
6,6,Getting Started with Software Development Using Cisco DevNet,0b8357e1283742929873bc46ca068e97,software development
7,7,Introduction to the Cisco Certified DevNet Associate Certification,2215091654e24822a62099c6e8d94ae4,networking and telecommunication
8,8,Cisco Enterprise Networks: VLANs and Trunking ,fbb42cb7c877481093605387ecc2cac3,networking and telecommunication
9,9,Consuming Cisco APIs and Understanding Application DevOps,047af9e9687d4b898c9673a64169c819,software development
10,11,AWS Certified Solutions Architect - Associate,89cff770b6354fa2bff5cadaadfce837,cloud computing
11,12,Start Coding with Scratch 2.0,cda771ae4a7b44e596ebe6593dc99b9b,software development
12,13,Testing React Applications with Jest,6292102d30154b68a242f307a3e2c4b4,software development
13,14,Unit Testing in Angular,e0716aa89c044d2b9e1433d383928061,software development
14,15,Google Cloud Platform Fundamentals - Core Infrastructure,36344e54537843ceb45f8cadf9ab8989,cloud computing
15,16,Collecting Data on AWS,2f783ac85e404fc8a8746923e1ab347f,cloud computing
16,17,Your Microservices Transition,01e513f519714492bffe816572c99a50,software development
17,18,Malware Analysis: The Big Picture,0cec82ecacde4aa08ef40247c378fce1,security
18,19,DevOps: The Big Picture,f04ee1dcd0134d0f8713956130c59c4f,software development
19,20,Cloud Computing: The Big Picture,ab1b95f2f25b4db4b304720fbbf8b424,cloud computing
20,21,Cisco CCIE Routing and Switching: MPLS,fccfcc76b02e486d95d2e471582ba396,networking and telecommunication
21,22,Docker and Kubernetes: The Big Picture,5ac6f66c9c3047588e3c9f366a361ccb,cloud computing
22,23,Getting Started with Kubernetes,ab4bdcd28ab0414cb953a290a0d4fa60,cloud computing
23,24,Administering Amazon Aurora on Amazon RDS,51e3ecd385464caca6349ac6254fedef,product management
24,25,Implementing User Access and Authentication with Amazon Cognito,fb1cfe84669b4d108066197de80d6822,security
25,26,LFCE: Advanced Linux Networking,1466a8d000914a3188c83a37f6ae83d4,networking and telecommunication
26,30,React: The Big Picture,8f922627155546949425f03878603f87,software development
27,31,Building a Full Stack App with React and Express,aaa29e6bbddf4021a2fc17c1e0a53591,software development
28,32,Building an API with ASP.NET Core,731b0932f6ca480ab414b5cf4c265c81,software development
29,33,Cypress: End-to-end JavaScript Testing,9828cb86f8ec4007aa4c3d4a6278131a,software development
30,34,Python â€“ Beyond the Basics,d1bcf07ce3e849539414958a98461979,software development
31,36,Agile Fundamentals,386fcec385874d55a67546b62c02fa73,software development
32,37,VMware vSphere Troubleshooting: Troubleshoot Advanced Features,fb9ad29ecc8f4bec9135ccdc55f20ee7,cloud computing
33,38,vSphere 7: Configuring and Managing vSphere Storage,a45d10c6e13f4f6899a6c06e48c0ccb7,product management
34,39,SD-WAN Architectures: The Big Picture,dcc618e0fb8641478cf5dde864208c24,networking and telecommunication
35,42,Angular NgRx: Getting Started,3a004c44e11c402c91c9d288cc3f9a71,software development
36,45,MongoDB Administration,058badb412c24e2797bb7b879cdfe3c4,product management
37,47,Creating Web Applications with Go,9d2baf21991848b6b8d327c17ce0d73e,software development
38,48,Working with Graph Algorithms in Python,18dddded4d114266a5ffa33227cabd47,data science
39,49,Cisco Enterprise Networks: BGP and Path Control,c682370d8c5547c89bbb578ad21d3388,networking and telecommunication
40,50,Terraform - Getting Started,8171fd7218b349e687384edeefe3ffca,product management
41,53,Getting Started with Cisco Software-defined Access (SDA),40c4411289d44262a96e36b2d411ffdc,security
42,54,Automating Networks with Ansible the Right Way,6bffcb619f484fadb038958c5ab52783,networking and telecommunication
43,56,Scrum Master Fundamentals - Becoming a Great Scrum Master,c394963cf94c4945b5963bbe9a874c92,software development
44,57,User Experience: The Big Picture,5fa9205a79214df48c5983decdf65383,product management
45,58,Importing Data: Python Data Playbook,bd809a8f1d1544fdaa4ba271cfff16f5,data science
46,59,Implementing a Self-hosted Docker Registry,f9a73e7d3ce244eaafdfb98c7ce4fc17,software development
47,60,XML Syntax Fundamentals,e1b62ecabcc34f1daa980d8c89db536d,software development
48,61,Getting Started with Hortonworks Data Platform,ed0149620b6944b8a843502b60357f62,data science
49,62,Enterprise Skills in Hortonworks Data Platform,d05a233f95e0434590091d62c8950c62,software development
50,63,Take Control of Your Big Data with HUE in Cloudera CDH,5311950ea0144a9e8e04536384b43574,data science
51,65,Cloud-native Architecture: The Big Picture,be31e70941644a518e96692ebe65af8a,cloud computing
52,66,Artificial Intelligence: The Big Picture of AI,3605a22e5c8c41ac9895ebcb2069c050,software development
53,67,DevSecOps: The Big Picture ,e4f8cb88624d49e08b8c2d7374bc378c,security
